,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,theme_score,is_candidate
PPH,health-other,2026-09-24,752.0000,111.1100,-0.0574,0.3970,-0.2740,0.0497,-0.0067,0.0080,-0.0677,0.1194,0.0090,0.2093,29217106.6668,0.0608,-0.0906,-0.0150,0.6712,0.1103,False,True,,,False
FXI,china,2026-09-24,752.0000,34.2400,-0.1648,0.0887,-0.9369,-0.0547,-0.0273,0.0092,-0.2043,-0.3050,-0.0090,0.1759,575339024.3714,0.1973,-0.0761,-0.0774,2.5904,0.1313,False,False,,,False
GLD,gold,2026-09-24,753.0000,391.6900,-0.2101,0.0545,-0.8780,-0.0593,-0.0080,0.0128,-0.2330,-0.0387,-0.0118,0.2393,4084273047.2404,0.2661,-0.1036,-0.0682,2.5670,0.0965,False,False,,,False
OIH,oil/gas,2026-09-24,752.0000,394.2000,-0.1316,0.5266,-0.4526,0.0239,-0.0221,0.0129,-0.2112,0.4109,-0.0819,0.2907,114297170.3458,0.1515,-0.1259,-0.0878,1.2036,0.0794,False,False,,,False
XLK,tech,2026-09-24,752.0000,194.7100,-0.0153,0.6426,-0.0542,0.1960,0.0605,0.0161,0.2530,0.2219,0.0376,0.2831,1249489571.6165,0.0156,-0.1226,-0.1455,0.1271,0.0816,False,True,,,False
XLC,comms,2026-09-24,752.0000,113.9900,-0.0421,0.2688,-0.1956,0.0065,0.0272,0.0246,-0.1487,-0.1897,0.0319,0.2151,539538111.2460,0.0439,-0.0931,-0.0786,0.4715,0.1074,False,True,,,False
AMLP,oil/gas,2026-09-24,752.0000,53.4000,-0.0497,0.2428,-0.3852,0.0549,-0.0205,0.0309,-0.1443,0.0799,-0.0497,0.1289,58443073.3244,0.0522,-0.0558,0.0000,0.9360,0.1792,False,False,,,False
EWT,taiwan,2026-09-24,752.0000,113.0800,-0.0221,0.5703,-0.0622,0.3009,0.0796,0.0309,0.4180,0.6846,0.0118,0.3561,411201555.4769,0.0226,-0.1542,-0.0051,0.1468,0.0649,False,True,,,False
EWZ,brazil,2026-09-24,752.0000,36.9100,-0.1071,0.4366,-0.4779,0.0264,0.0213,0.0415,-0.1644,0.0897,-0.0305,0.2241,960016894.3462,0.1199,-0.0970,-0.0958,1.2361,0.1031,False,False,,,False
SLV,silver,2026-09-24,753.0000,57.6200,-0.4544,0.0531,-1.1863,-0.1260,0.0054,0.0531,-0.2903,0.2727,0.0021,0.3830,956346752.0777,0.8327,-0.1658,-0.1255,5.0209,0.0603,False,True,,,False
