,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score,price_score,theme_score,is_candidate
EWY,korea,2026-09-21,751.0000,189.1600,-0.1370,0.2691,-0.2187,0.2446,0.0902,-0.1780,0.3052,1.2113,0.0015,0.6267,2233490730.4306,0.1588,-0.2714,-0.2376,0.5852,0.0369,True,True,0.9645,6,0.9645,False
QTUM,ai/robot,2026-09-21,751.0000,153.0400,-0.0916,0.1803,-0.2597,0.1536,0.0385,-0.1325,0.2200,0.2984,0.0348,0.3528,38398851.1659,0.1009,-0.1528,-0.1359,0.6604,0.0655,False,True,,7,,False
GRID,grid/infra,2026-09-21,751.0000,181.0800,-0.0900,0.0956,-0.3402,0.0331,0.0043,-0.1212,-0.0679,0.0391,0.0117,0.2647,85999412.7829,0.0989,-0.1146,-0.0749,0.8633,0.0873,False,True,,8,,False
IWM,bench,2026-09-21,751.0000,285.5800,-0.0615,0.2910,-0.4767,0.0433,-0.0294,-0.0814,-0.0138,-0.0056,-0.0327,0.1290,5922944365.6079,0.0655,-0.0559,-0.0058,1.1730,0.1790,False,False,,3,,False
EEM,em,2026-09-21,751.0000,68.8300,-0.0334,0.4317,-0.1318,0.1071,0.0447,-0.0751,0.0448,0.1370,0.0019,0.2535,1165369750.4387,0.0346,-0.1098,-0.1127,0.3150,0.0911,False,True,,6,,False
XLRE,realestate,2026-09-21,751.0000,42.5900,-0.0665,0.1598,-0.4828,0.0036,-0.0364,-0.0660,-0.1241,-0.1275,-0.0223,0.1378,219211018.6483,0.0713,-0.0597,-0.0097,1.1943,0.1675,False,False,,4,,False
VNQ,reit,2026-09-21,751.0000,93.8100,-0.0707,0.1653,-0.5278,0.0050,-0.0388,-0.0619,-0.1209,-0.1276,-0.0230,0.1340,307606431.8466,0.0761,-0.0580,-0.0096,1.3118,0.1724,False,False,,4,,False
PICK,base-metals,2026-09-21,751.0000,61.7200,-0.0971,0.3975,-0.3531,0.0414,-0.0030,-0.0540,0.0022,0.3108,-0.0513,0.2749,40192262.5814,0.1075,-0.1191,-0.0953,0.9031,0.0840,False,False,,4,,False
AIQ,ai/robot,2026-09-21,751.0000,66.3100,-0.0546,0.3197,-0.1831,0.1701,0.0655,-0.0533,0.2012,0.1767,0.0309,0.2983,70149148.0699,0.0578,-0.1292,-0.1558,0.4472,0.0774,False,True,,6,,False
KBWB,banks,2026-09-21,751.0000,92.3600,-0.0689,0.1721,-0.3836,0.0550,-0.0383,-0.0487,0.0195,0.0072,-0.0494,0.1795,150317509.9517,0.0740,-0.0777,-0.0092,0.9515,0.1286,False,False,,5,,False
IAI,fin-other,2026-09-21,751.0000,187.1000,-0.0528,0.2268,-0.2475,0.0418,-0.0131,-0.0368,-0.0492,-0.1102,-0.0450,0.2132,15793940.1672,0.0557,-0.0923,-0.0317,0.6033,0.1083,False,False,,4,,False
