,theme,asof,days,price,dd_52w,dd_pctile,dd_z,vs_sma200,vs_sma50,rs_spy_3m,rs_spy_6m,rs_spy_12m,ret_10d,vol_60d,dollar_vol,tp_pct,sl_pct,dip_low_pct,rr,size_1pct,is_dip,stabilizing,dip_score
ITB,housing,2026-09-04,754.0000,93.9100,-0.1932,0.2735,-0.5912,-0.0446,-0.0405,-0.0344,-0.1941,-0.3718,-0.0367,0.3267,167179874.3822,0.2394,-0.1415,-0.0833,1.6920,0.0707,True,False,0.3496
XLU,sector,2026-09-04,754.0000,43.0800,-0.0853,0.0395,-0.5936,-0.0273,-0.0306,-0.0694,-0.2175,-0.1419,0.0072,0.1437,871011039.3618,0.0933,-0.0622,-0.0197,1.4987,0.1607,True,True,0.3577
URA,nuclear,2026-09-04,754.0000,46.0600,-0.2548,0.1361,-0.5686,-0.0441,0.0701,-0.0304,-0.2073,-0.0051,-0.0002,0.4482,148597440.0573,0.3419,-0.1941,-0.1854,1.7621,0.0515,True,False,0.3577
PPA,defense,2026-09-04,754.0000,165.1800,-0.1090,0.0177,-0.4712,-0.0306,-0.0567,-0.0774,-0.2368,-0.0733,-0.0489,0.2314,31889158.6115,0.1224,-0.1002,-0.0314,1.2213,0.0998,True,False,0.3984
XHB,housing,2026-09-04,754.0000,103.2500,-0.1454,0.2857,-0.4919,-0.0323,-0.0419,-0.0480,-0.1690,-0.3121,-0.0305,0.2956,161950391.5010,0.1702,-0.1280,-0.0826,1.3293,0.0781,True,False,0.4065
FXI,country,2026-09-04,754.0000,35.8800,-0.1247,0.3088,-0.6920,-0.0162,0.0323,-0.0067,-0.1424,-0.2463,0.0006,0.1803,542699735.7421,0.1425,-0.0781,-0.1196,1.8260,0.1281,True,True,0.4146
QCLN,clean,2026-09-04,754.0000,49.4300,-0.2781,0.1293,-0.6018,-0.0492,-0.0547,-0.2418,-0.0537,0.1223,-0.0204,0.4621,7776513.6162,0.3852,-0.2001,-0.0597,1.9252,0.0500,True,False,0.4472
BOTZ,ai/robot,2026-09-04,754.0000,35.9500,-0.1360,0.1020,-0.4729,-0.0245,-0.0041,-0.0999,-0.1549,-0.1132,-0.0025,0.2876,21813992.0228,0.1574,-0.1245,-0.0631,1.2640,0.0803,True,False,0.4634
ITA,defense,2026-09-04,754.0000,225.6100,-0.1090,0.0381,-0.4541,-0.0160,-0.0596,-0.0630,-0.2188,-0.0574,-0.0494,0.2401,134357413.2887,0.1224,-0.1040,-0.0099,1.1770,0.0962,True,False,0.4634
LIT,metals,2026-09-04,754.0000,74.1800,-0.1869,0.4218,-0.6019,0.0039,0.0153,-0.0955,-0.0714,0.3890,-0.0317,0.3105,20725774.8217,0.2298,-0.1344,-0.1003,1.7095,0.0744,True,False,0.5447
